order_id,order_date,customer_id,shipping_method_id,dest_address_id
1,2022-06-23 02:18:54.998111,1,3,138
2,2022-08-24 23:10:36.998111,2,4,755
3,2021-06-06 23:38:26.998111,3,3,735
4,2021-06-23 09:35:51.998111,4,1,746
5,2022-07-28 06:53:05.998111,5,2,662
6,2023-01-06 13:03:06.998111,6,2,159
7,2023-07-13 02:53:17.998111,7,4,38
8,2022-09-23 18:22:49.998111,8,1,808
9,2023-02-21 12:17:13.998111,9,4,306
10,2023-06-28 23:02:44.998111,10,1,320
11,2022-02-11 00:34:18.998111,11,4,838
12,2022-01-30 04:31:57.998111,12,4,28
13,2023-12-31 23:58:07.998111,13,3,227
14,2024-01-20 18:50:20.998111,14,2,913
15,2022-03-09 00:07:58.998111,15,2,487
16,2022-10-20 21:50:38.998111,16,3,668
17,2021-11-09 17:14:49.998111,17,2,47
18,2024-01-23 21:36:12.998111,18,2,560
19,2022-03-19 04:23:08.998111,19,2,403
20,2021-07-16 12:10:26.998111,20,3,260
21,2023-07-19 09:19:46.998111,21,4,555
22,2022-06-11 13:22:40.998111,22,3,59
23,2023-05-23 04:59:32.998111,23,2,738
24,2022-06-20 12:35:27.998111,24,3,615
25,2021-05-09 18:32:08.998111,25,3,798
26,2021-07-21 22:09:47.998111,26,1,33
27,2024-02-14 00:31:04.998111,27,2,814
28,2022-10-13 17:45:22.998111,28,3,957
29,2021-10-13 09:11:08.998111,29,4,648
30,2022-09-27 20:45:56.998111,30,4,821
31,2024-03-11 14:00:45.998111,31,2,330
32,2023-10-09 15:07:12.998111,32,3,945
33,2023-10-04 12:34:52.998111,33,4,32
34,2021-08-29 12:22:52.998111,34,3,339
35,2023-02-12 02:11:13.998111,35,1,60
36,2022-06-05 05:20:06.998111,36,4,711
37,2023-10-07 11:54:13.998111,37,1,280
38,2023-08-03 11:58:23.998111,38,4,511
39,2021-07-04 19:28:05.998111,39,1,629
40,2021-09-22 17:48:35.998111,40,4,164
41,2022-04-16 14:46:16.998111,41,3,634
42,2022-02-25 05:29:53.998111,42,2,790
43,2024-02-21 11:19:38.998111,43,4,432
44,2022-01-30 10:06:30.998111,44,2,985
45,2022-09-06 10:16:29.998111,45,4,229
46,2022-01-09 01:23:02.998111,46,3,779
47,2022-03-22 09:09:18.998111,47,2,332
48,2023-01-07 23:23:08.998111,48,2,884
49,2023-06-14 08:39:13.998111,49,3,818
50,2023-04-03 21:00:06.998111,50,1,318
51,2022-09-26 06:15:54.998111,51,4,256
52,2024-01-02 15:13:39.998111,52,2,210
53,2024-03-14 13:49:08.998111,53,4,667
54,2022-07-13 02:22:45.998111,54,3,832
55,2021-05-31 15:14:29.998111,55,2,360
56,2021-10-16 10:04:09.998111,56,1,709
57,2022-11-05 06:27:07.998111,57,4,679
58,2021-11-20 09:03:06.998111,58,3,769
59,2021-07-28 08:03:03.998111,59,1,813
60,2023-08-08 22:43:47.998111,60,4,574
61,2021-12-01 19:23:34.998111,61,2,50
62,2023-03-25 18:42:09.998111,62,4,245
63,2023-02-28 12:13:49.998111,63,3,371
64,2023-09-15 22:34:03.998111,64,4,576
65,2022-01-07 14:05:23.998111,65,3,553
66,2023-02-11 04:14:06.998111,66,3,983
67,2022-10-22 05:18:52.998111,67,4,455
68,2022-11-05 08:44:37.998111,68,1,965
69,2022-10-01 23:14:06.998111,69,2,165
70,2022-02-21 05:16:40.998111,70,3,807
71,2023-08-14 01:36:07.998111,71,3,594
72,2023-04-03 02:57:13.998111,72,3,600
73,2024-02-29 22:12:15.998111,73,1,544
74,2022-01-03 08:54:08.998111,74,4,537
75,2023-05-11 17:16:05.998111,75,3,949
76,2021-04-25 05:11:02.998111,76,3,639
77,2023-11-03 20:30:45.998111,77,4,130
78,2022-09-10 16:52:15.998111,78,4,79
79,2023-04-09 08:29:17.998111,79,4,70
80,2022-06-02 00:01:16.998111,80,4,185
